74213.51 374655.78 -3.21
74223.57 374657.45 -6.72
74231.64 374659.19 -8.98
74243.63 374658.8 -10.51
74247.63 374658.67 -11.12
74211.9 374667.84 -5.58
74221.9 374667.51 -8.13
74231.96 374669.19 -10.93
74241.96 374668.86 -11.98
74251.96 374668.53 -13.26
74261.96 374668.21 -14.29
74263.96 374668.14 -14.78
74202.23 374678.16 -5.12
74212.23 374677.84 -8.54
74222.23 374677.51 -10.64
74232.29 374679.18 -12.6
74238.22 374676.99 -12.87
74250.29 374678.6 -14.52
74262.28 374678.21 -16.21
74270.28 374677.95 -17.67
74279.31 374678.65 -17.86
74955.88 374678.59 -17.32
74963.88 374678.33 -17.28
74979.87 374677.8 -17.27
74988.64 374670.51 -17.89
74994.64 374670.32 -17.59
75003.87 374677.02 -17.23
74192.56 374688.49 -4.48
74202.56 374688.16 -7.82
74212.56 374687.84 -10.5
74222.55 374687.51 -12.01
74228.62 374689.31 -13.26
74242.61 374688.86 -14.33
74252.61 374688.53 -16.01
74262.54 374686.2 -17.22
74272.54 374685.88 -17.97
74274.48 374683.81 -17.79
74292.67 374689.22 -17.28
74300.67 374688.96 -18.94
74536.87 374689.26 -25.07
74556.87 374688.61 -24.49
74564.87 374688.35 -24.06
74593.89 374688.4 -22.46
74604.92 374689.04 -22.39
74614.86 374686.71 -21.64
74630.85 374686.19 -20.64
74633.75 374683.1 -20.55
74645.75 374682.7 -20.33
74656.72 374681.35 -19.99
74664.85 374685.08 -19.56
74674.71 374680.76 -19.23
74684.97 374688.43 -18.92
74694.84 374684.1 -18.47
74704.77 374681.78 -18.22
74718.83 374683.32 -18.42
74732.83 374682.86 -17.97
74734.83 374682.8 -18.29
74744.83 374682.47 -18.16
74755.02 374688.14 -18.15
74766.89 374683.75 -18.23
74775.02 374687.49 -17.62
74793.01 374686.9 -17.36
74795.08 374688.84 -17.71
74805.08 374688.51 -17.1
74819.07 374688.06 -17.55
74830.1 374688.7 -17.09
74834.1 374688.57 -16.74
74932.14 374687.37 -17.32
74938.21 374689.17 -17.26
74946.08 374684.91 -17.35
74956.14 374686.58 -17.24
74970.2 374688.13 -17.31
74978.2 374687.87 -17.4
74988.13 374685.54 -17.27
74993.93 374679.35 -17.25
75004.13 374685.02 -17.2
74192.89 374698.49 -7.09
74202.88 374698.16 -9.73
74212.82 374695.83 -12.06
74222.75 374693.51 -12.55
74232.94 374699.18 -13.27
74242.94 374698.85 -15.88
74252.94 374698.53 -17.24
74262.94 374698.2 -17.76
74272.8 374693.88 -18.46
74280.74 374691.62 -18.51
74290.99 374699.29 -19.45
74302.99 374698.9 -20.75
74310.79 374692.64 -21.35
74320.99 374698.31 -22.13
74330.99 374697.98 -21.83
74342.92 374695.59 -22.82
74344.92 374695.53 -22.72
74359.82 374692.04 -22.47
74365.04 374698.87 -22.66
74383.04 374698.28 -22.16
74393.04 374697.96 -22.9
74401.04 374697.7 -23.55
74410.07 374698.4 -23.78
74423.1 374698.98 -24.12
74425.1 374698.91 -24.27
74442.9 374692.33 -24.23
74448.89 374692.13 -24.58
